stop_id,stop_name,location_type,wheelchair_boarding
1898,King/Kitchener-Waterloo Collegiate,0,1
1900,Grand River Hospital Station,0,1
1901,Central Station,0,1
1902,King/Union,0,1
1903,Victoria/Margaret,0,1
1904,Allen Station,0,1
1905,Vanier/Shelley,0,2
1906,Shelley/Courtland,0,2
1907,Waterloo Public Square Station,0,1
1909,King/Bridgeport Rd.,0,1
1910,King/Elgin,0,1
1911,King/James,0,1
1912,Victoria/Margaret,0,1
1913,King/University Ave.,0,1
1914,King/Hickory,0,1
1915,King/Columbia,0,1
1916,King/Weber,0,1
1917,King/Blue Springs,0,1
1918,King/Manulife,0,1
1919,King/Highway 85,0,1
1920,Northfield/Wissler,0,1
1921,Victoria/Kitchener Rail Station,0,1
1922,Park/Union,0,1
